"role_id","title","role","area_id","chamber_id","contest_id"
1,"Deputy",2,4,1,1
2,"Deputy",2,9,2,2
3,"Deputy",2,18,3,3
4,"Deputy",2,36,4,4
5,"Deputy",2,50,5,5
6,"Deputy",2,23,6,6
7,"Deputy",2,80,7,7
8,"Deputy",2,41,8,8
9,"Deputy",2,33,9,9
10,"Deputy",2,105,10,10
11,"Deputy",2,121,11,11
12,"Deputy",2,174,12,12
13,"Deputy",2,164,13,13
14,"Deputy",2,190,14,14
15,"Deputy",2,198,15,15
16,"Deputy",2,220,16,16
17,"Deputy",2,233,17,17
18,"Deputy",2,240,18,18
19,"Deputy",2,245,19,19
20,"Deputy",2,258,20,20
21,"Deputy",2,269,21,21
22,"Deputy",2,291,22,22
23,"Deputy",2,285,23,23
24,"Deputy",2,307,24,24
25,"Deputy",2,298,25,25
26,"Deputy",2,316,26,26
27,"Deputy",2,324,27,27
28,"Deputy",2,335,28,28
29,"Deputy",2,331,29,29
30,"Deputy",2,345,30,30
31,"Deputy",2,366,31,31
32,"Deputy",2,372,32,32
33,"Deputy",2,51,33,33
34,"Deputy",2,81,34,34
35,"Deputy",2,122,35,35
36,"Deputy",2,175,36,36
37,"Deputy",2,199,37,37
38,"Deputy",2,221,38,38
39,"Deputy",2,246,39,39
40,"Deputy",2,259,40,40
41,"Deputy",2,270,41,41
42,"Deputy",2,346,42,42
43,"Deputy",2,52,43,43
44,"Deputy",2,82,44,44
45,"Deputy",2,123,45,45
46,"Deputy",2,176,46,46
47,"Deputy",2,200,47,47
48,"Deputy",2,222,48,48
49,"Deputy",2,247,49,49
50,"Deputy",2,271,50,50
51,"Deputy",2,347,51,51
52,"Deputy",2,53,52,52
53,"Deputy",2,83,53,53
54,"Deputy",2,124,54,54
55,"Deputy",2,177,55,55
56,"Deputy",2,201,56,56
,"Deputy",2,,57,57
58,"Deputy",2,248,58,58
59,"Deputy",2,272,59,59
60,"Deputy",2,348,60,60
61,"Deputy",2,54,61,61
62,"Deputy",2,84,62,62
63,"Deputy",2,125,63,63
64,"Deputy",2,178,64,64
65,"Deputy",2,202,65,65
66,"Deputy",2,273,66,66
67,"Deputy",2,349,67,67
68,"Deputy",2,85,68,68
69,"Deputy",2,126,69,69
70,"Deputy",2,179,70,70
71,"Deputy",2,203,71,71
72,"Deputy",2,274,72,72
73,"Deputy",2,350,73,73
74,"Deputy",2,86,74,74
75,"Deputy",2,127,75,75
76,"Deputy",2,180,76,76
77,"Deputy",2,204,77,77
78,"Deputy",2,275,78,78
79,"Deputy",2,351,79,79
80,"Deputy",2,87,80,80
81,"Deputy",2,128,81,81
82,"Deputy",2,205,82,82
83,"Deputy",2,352,83,83
84,"Deputy",2,88,84,84
85,"Deputy",2,129,85,85
86,"Deputy",2,206,86,86
87,"Deputy",2,353,87,87
88,"Deputy",2,89,88,88
89,"Deputy",2,130,89,89
90,"Deputy",2,207,90,90
91,"Deputy",2,354,91,91
92,"Deputy",2,90,92,92
93,"Deputy",2,131,93,93
94,"Deputy",2,208,94,94
95,"Deputy",2,355,95,95
96,"Deputy",2,5,96,96
97,"Deputy",2,10,97,97
98,"Deputy",2,19,98,98
99,"Deputy",2,37,99,99
100,"Deputy",2,55,100,100
101,"Deputy",2,24,101,101
102,"Deputy",2,91,102,102
103,"Deputy",2,42,103,103
104,"Deputy",2,34,104,104
105,"Deputy",2,106,105,105
106,"Deputy",2,132,106,106
107,"Deputy",2,181,107,107
108,"Deputy",2,165,108,108
109,"Deputy",2,191,109,109
110,"Deputy",2,209,110,110
111,"Deputy",2,224,111,111
112,"Deputy",2,234,112,112
113,"Deputy",2,241,113,113
114,"Deputy",2,249,114,114
115,"Deputy",2,260,115,115
116,"Deputy",2,276,116,116
117,"Deputy",2,292,117,117
118,"Deputy",2,286,118,118
119,"Deputy",2,308,119,119
120,"Deputy",2,299,120,120
121,"Deputy",2,317,121,121
122,"Deputy",2,325,122,122
123,"Deputy",2,336,123,123
124,"Deputy",2,332,124,124
125,"Deputy",2,356,125,125
126,"Deputy",2,367,126,126
127,"Deputy",2,373,127,127
128,"Deputy",2,92,128,128
129,"Deputy",2,133,129,129
130,"Deputy",2,210,130,130
,"Deputy",2,,131,131
132,"Deputy",2,93,132,132
133,"Deputy",2,134,133,133
134,"Deputy",2,94,134,134
135,"Deputy",2,135,135,135
,"Deputy",2,,136,136
137,"Deputy",2,136,137,137
,"Deputy",2,,138,138
139,"Deputy",2,137,139,139
140,"Deputy",2,138,140,140
141,"Deputy",2,139,141,141
142,"Deputy",2,140,142,142
143,"Deputy",2,141,143,143
144,"Deputy",2,142,144,144
145,"Deputy",2,6,145,145
146,"Deputy",2,11,146,146
147,"Deputy",2,56,147,147
148,"Deputy",2,25,148,148
149,"Deputy",2,97,149,149
150,"Deputy",2,43,150,150
151,"Deputy",2,107,151,151
152,"Deputy",2,143,152,152
153,"Deputy",2,182,153,153
154,"Deputy",2,166,154,154
155,"Deputy",2,192,155,155
156,"Deputy",2,211,156,156
157,"Deputy",2,225,157,157
158,"Deputy",2,235,158,158
159,"Deputy",2,242,159,159
