"contest_id","area_id","title","start_date","end_date","election_identifier"
1,4,"Diputación del Distrito Federal 1 de AGUASCALIENTES",2024-03-01,2024-05-29,"MX-AGU-ASIENTOS,CALVILLO,COSIO,JESUS MARIA,PABELLON DE ARTEAGA,RINCON DE ROMOS,SAN JOSE DE GRACIA,TEPEZALA,SAN FRANCISCO DE LOS ROMO,EL LLANO-NATIONAL_LOWER-runoff-2024"
2,9,"Diputación del Distrito Federal 1 de BAJA CALIFORNIA",2024-03-01,2024-05-29,"MX-BCN-MEXICALI-NATIONAL_LOWER-runoff-2024"
3,18,"Diputación del Distrito Federal 1 de BAJA CALIFORNIA SUR",2024-03-01,2024-05-29,"MX-BCS-COMONDU,MULEGE,LA PAZ,LORETO-NATIONAL_LOWER-runoff-2024"
4,36,"Diputación del Distrito Federal 1 de CAMPECHE",2024-03-01,2024-05-29,"MX-CAM-CAMPECHE,CALKINI,HECELCHAKAN,HOPELCHEN,TENABO,CALAKMUL,DZITBALCHE-NATIONAL_LOWER-runoff-2024"
5,50,"Diputación del Distrito Federal 1 de CHIAPAS",2024-03-01,2024-05-29,"MX-CHP-SABANILLA,SALTO DE AGUA,TILA,TUMBALA,YAJALON,CATAZAJA,LA LIBERTAD,PALENQUE-NATIONAL_LOWER-runoff-2024"
6,23,"Diputación del Distrito Federal 1 de CHIHUAHUA",2024-03-01,2024-05-29,"MX-CHH-JUAREZ-NATIONAL_LOWER-runoff-2024"
7,80,"Diputación del Distrito Federal 1 de CIUDAD DE MÉXICO",2024-03-01,2024-05-29,"MX-CMX-GUSTAVO A. MADERO-NATIONAL_LOWER-runoff-2024"
8,41,"Diputación del Distrito Federal 1 de COAHUILA DE ZARAGOZA",2024-03-01,2024-05-29,"MX-COA-ACU?A,JIMENEZ,MORELOS,NAVA,PIEDRAS NEGRAS,SAN JUAN DE SABINAS,ZARAGOZA-NATIONAL_LOWER-runoff-2024"
9,33,"Diputación del Distrito Federal 1 de COLIMA",2024-03-01,2024-05-29,"MX-COL-COLIMA,COMALA,COQUIMATLAN,CUAUHTEMOC,VILLA DE ALVAREZ-NATIONAL_LOWER-runoff-2024"
10,105,"Diputación del Distrito Federal 1 de DURANGO",2024-03-01,2024-05-29,"MX-DUR-CANELAS,DURANGO,MEZQUITAL,OTAEZ,PUEBLO NUEVO,SAN DIMAS,SANTIAGO PAPASQUIARO,SUCHIL,TAMAZULA,TEPEHUANES,TOPIA,VICENTE GUERRERO-NATIONAL_LOWER-runoff-2024"
11,121,"Diputación del Distrito Federal 1 de ESTADO DE MÉXICO",2024-03-01,2024-05-29,"MX-MEX-ACAMBAY DE RUIZ CASTA?EDA,ACULCO,CHAPA DE MOTA,JILOTEPEC,MORELOS,POLOTITLAN,SOYANIQUILPAN DE JUAREZ,TEMASCALCINGO,TIMILPAN,VILLA DEL CARBON-NATIONAL_LOWER-runoff-2024"
12,174,"Diputación del Distrito Federal 1 de GUANAJUATO",2024-03-01,2024-05-29,"MX-GUA-DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,SAN LUIS DE LA PAZ,SANTA CATARINA,TIERRA BLANCA,VICTORIA,XICHU,ATARJEA,DOCTOR MORA-NATIONAL_LOWER-runoff-2024"
13,164,"Diputación del Distrito Federal 1 de GUERRERO",2024-03-01,2024-05-29,"MX-GRO-GENERAL CANUTO A. NERI,IXCATEOPAN DE CUAUHTEMOC,PEDRO ASCENCIO ALQUISIRAS,PUNGARABATO,SAN MIGUEL TOTOLAPAN,TELOLOAPAN,TLALCHAPA,TLAPEHUALA,ZIRANDARO,AJUCHITLAN DEL PROGRESO,APAXTLA,ARCELIA,COCULA,COYUCA DE CATALAN,CUETZALA DEL PROGRESO,CUTZAMALA DE PINZON-NATIONAL_LOWER-runoff-2024"
14,190,"Diputación del Distrito Federal 1 de HIDALGO",2024-03-01,2024-05-29,"|"
15,198,"Diputación del Distrito Federal 1 de JALISCO",2024-03-01,2024-05-29,"MX-JAL-AHUALULCO DE MERCADO,AMATITAN,SAN JUANITO DE ESCOBEDO,EL ARENAL,BOLA?OS,COLOTLAN,CUQUIO,CHIMALTITAN,ETZATLAN,HOSTOTIPAQUILLO,HUEJUCAR,HUEJUQUILLA EL ALTO,IXTLAHUACAN DEL RIO,MAGDALENA,MEZQUITIC,SAN CRISTOBAL DE LA BARRANCA,SAN MARCOS,SAN MARTIN DE BOLA?OS,SANTA MARIA DE LOS ANGELES,TALA,TEQUILA,TEUCHITLAN,TOTATICHE,VILLA GUERRERO-NATIONAL_LOWER-runoff-2024"
16,220,"Diputación del Distrito Federal 1 de MICHOACÁN DE OCAMPO",2024-03-01,2024-05-29,"MX-MIC-ARTEAGA,CHURUMUCO,GABRIEL ZAMORA,LA HUACANA,LAZARO CARDENAS,MUGICA,NUEVO URECHO,PARACUARO,TUMBISCATIO-NATIONAL_LOWER-runoff-2024"
