person_id,role_type,contest,first_name,last_name,full_name,nickname,abbreviation,coalition,state,area,membership_type,start_date,end_date,is_substitute,is_titular,date_birth,gender,dead_or_alive,last_degree_of_studies,profession_1,profession_2,profession_3,profession_4,profession_5,profession_6,Website,URL_FB_page,URL_FB_profile,URL_IG,URL_TW,URL_others,URL_photo,source_of_truth
1,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Marina del Pilar,Ávila Olmeda,Marina del Pilar Ávila Olmeda,,Morena,Juntos hacemos historia en Baja California,Baja California,,officeholder,2021-11-01,2027-10-31,No,TRUE,1985-09-19,F,Vivo,Master Degree,"abogada, servidor público, docente",Law,Public administration,Educational planning and evaluation,,,,https://www.facebook.com/MarinadelpilarBc,,https://www.instagram.com/marinadelpilar_ao,https://www.twitter.com/MarinadelPilar,https://www.youtube.com/c/MarinadelPilar,http://sil.gobernacion.gob.mx/Archivos/Fotos/9222940.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Francisco Alcibiades,Garcia Lizardi,Francisco Alcibiades Garcia Lizardi,,MC,,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1941-12-17,M,Vivo,Bachelor´s Degree,"servidor público, empresario, senador suplente, docente",Public administration,Business administration and management,Political Sciences,Initial education,,,https://www.facebook.com/AlcibiadesBC,,,,,http://sil.gobernacion.gob.mx/Archivos/Fotos/2306068.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,María Guadalupe,Jones Garay,María Guadalupe Jones Garay,Lupita Jones,PAN,Va por Baja California,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1968-09-06,F,Vivo,Master Degree,"actriz, empresaria, escritora","Arts, multidisciplinary or general programs",Business administration and management,Literature,,,,https://www.facebook.com/LupitaJonesOficial,,https://www.instagram.com/lupjones,https://www.twitter.com/LupJonesof,lupitajones.contacto@gmail.com,https://scontent.fmex2-2.fna.fbcdn.net/v/t1.6435-9/194679209_331295168363394_806469304655135824_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=174925&_nc_eui2=AeGJqp3j_4tFRSanZ97XNifPLze83bN3bPwvN7zds3ds_Cop1ca1EP1p6UUFG8PQX7FfT50mb9qnKLHpqbbv7Ckb&_nc_ohc=DOThnHGVEgsAX9HfUUb&_nc_ht=scontent.fmex2-2.fna&oh=00_AT-F0zN7J7BDAjaKtslqa1LEmZMbO8eo0Vg5Y3nhBbpsqg&oe=625DF457,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Carlos,Atilano Peña,Carlos Atilano Peña,,PBCal,,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Bachelor´s Degree,"abogado, activista social, docente",Law,Social work and care,Didactics and pedagogy,,,,https://www.facebook.com/atilanocarlos,,,https://www.twitter.com/atilanocarlosmx,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/192887389_323988995965507_7221122869025236230_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFHP7DphaS1ilmau3HkwCwMOKmdVymUHpY4qZ1XKZQelr6rWvMBeVBif_hd4b_K_6NBCdlwJg9GR54p7bi8ia5y&_nc_ohc=4SVo3wEjmqsAX-P1fdh&_nc_ht=scontent-qro1-1.xx&oh=00_AT_C10wbMOlhSHLdOWGngv_EMGm4rZAD7ZQNhAhIin4LIA&oe=62607BB7,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Jorge,Hank Rhon,Jorge Hank Rhon,,PES,,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1956-01-28,M,Vivo,Bachelor´s Degree,"ingeniero mecánico, empresario, presidente municipal","Mechanical engineering, electronics and technology, multidisciplinary or general programs",Business administration and management,Political Sciences,,,,https://www.facebook.com/JorgeHank,,https://www.instagram.com/jorgehankoficial,https://www.twitter.com/Jorge_HankRhon,,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/153700262_3841483179223833_6497754893463673559_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFALsvhSndPLUKeGm2-IJiSpu7Pfu1FlV-m7s9-7UWVX-k1p5uBmXanUW7y0TsXu78uZ_y20MUUQ1MvAQJp57yz&_nc_ohc=iFfoFrTIrWIAX_oc56_&_nc_ht=scontent.fmex2-1.fna&oh=00_AT9z-VcrkMWSI6FVaKXPQtEL5GzOvatagHUJjISjsF4Fmg&oe=625CF059,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Victoria,Bentley Duarte,Victoria Bentley Duarte,,RSP,,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1968-06-01,F,Vivo,Bachelor´s Degree,"abogada, diputada local, secretaria general del SUTSPE",Law,Political Sciences,Public administration,,,,https://www.facebook.com/VictoriaVBentley,https://www.facebook.com/victoria.bentleyduarte,,,,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/169057004_3587434504718473_4627150277843008452_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=174925&_nc_eui2=AeE2AjWzPYXBBm-bNvc8fGVDMXtlTMaOjLgxe2VMxo6MuOC7OExtMqzwmJUDc0aR1QDpvFsS-Jukl-4ft5Fo4i2e&_nc_ohc=xg1aexl1jvYAX-GtzBg&_nc_ht=scontent.fmex2-1.fna&oh=00_AT-UGuWqhBkmAcojPfMo4WVfU57mFOazjPsW-tVdz5KtAQ&oe=625EF09C,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA,Jorge Francisco,Ojeda García,Jorge Francisco Ojeda García,,FxM,,Baja California,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,empresario,"Business and management, multidisciplinary or general programs",,,,,,https://www.facebook.com/jorgeojedamx,,https://www.instagram.com/jorgeojedamx_,,,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/169185464_2940505139563932_4938949790847456541_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=174925&_nc_eui2=AeE_bvXxH_kImEQMREWgJcs7zY4wqDubGW_NjjCoO5sZb0MB-Mm6yYqQBRFUDBYINwFatmEkQOUsLMjzVovreJcX&_nc_ohc=ss9UXZaPansAX8FE6fG&_nc_oc=AQmHzrpxhZjAR3eSr9CBHJxUfhQ5bVboeQU0W-qEAn7aMneLO_hEDWtFgZjN22Y1gwg&tn=LOUdjX976aVLlJn4&_nc_ht=scontent.fmex2-1.fna&oh=00_AT-h9oO8s-xF23bSlKnSgkpJ00kXbmbFQysCB2_1I7BEIw&oe=62605E0F,
8,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Víctor Manuel,Castro Cosío,Víctor Manuel Castro Cosío,,Morena,Juntos hacemos historia en Baja California Sur,Baja California Sur,,officeholder,2021-09-10,2027-09-09,No,TRUE,1955-06-14,M,Vivo,Bachelor´s Degree,"docente, diputado federal, servidor público, luchador social",Educational counseling and guidance,Political Sciences,Public administration,Social work and care,,https://www.victorcastro.mx,https://www.facebook.com/VictorCastroCosio,,https://www.instagram.com/victorcastrocosio,https://www.twitter.com/VictorCastroCos,https://www.youtube.com/channel/UCIkNfJUbUsCjp0bpHagaxpw,http://www.sil.gobernacion.gob.mx/Archivos/Fotos/9221845.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Francisco,Pelayo Covarrubias,Francisco Pelayo Covarrubias,Pancho Pelayo,PAN,Unidos Contigo Baja California Sur,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1969-11-08,M,Vivo,Bachelor´s Degree,"tesorero del ayuntamiento, diputado federal, presidente municipal",Public administration,Political Sciences,,,,,https://www.facebook.com/FranciscoPelayoCovarrubias,,https://www.instagram.com/panchobcs,https://www.twitter.com/PanchoPelayoC,https://www.youtube.com/channel/UCFgRWZZD2F4Q-LSh0-nnTsA/featured,http://sil.gobernacion.gob.mx/Archivos/Fotos/9218147.jpg,
,governmentOfficer,Gubernatura de BAJA CALIFORNIA SUR,Jesús Armida,Castro Guzmán,Jesús Armida Castro Guzmán,,PVEM,,Baja California Sur,,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1972-03-06,F,Vivo,Bachelor´s Degree,"servidor público, diputada local, encargada de despacho, presidenta municipal",Public administration,Political Sciences,Law,,,,https://www.facebook.com/ArmidaCastroBCS,,https://www.instagram.com/armida__castro__guzman,,,https://scontent.fmex2-1.fna.fbcdn.net/v/t1.6435-9/169009410_798335767480445_1931483677450515462_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFYM87jctTJ35MlzA6ZpxUfe2IvqnlEgAp7Yi-qeUSACgqU9AzdMbdTCQf_Wee8iNfOj94-F_GFjNTClGZ-1Hcf&_nc_ohc=WiAlvZSx1s8AX8Y8Unu&_nc_ht=scontent.fmex2-1.fna&oh=00_AT_gV4PgAYmu6pkHsGnYe7pfM0ET-hXrGuWxFtZ12MSMiw&oe=625CD7F8,
