"source","target","value"
"MC","MC ",24
"MC","MORENA ",1
"MC","PAN ",5
"MC","PRD ",1
"MC","PT ",1
"MORENA","MC ",1
"MORENA","MORENA ",66
"MORENA","OTRO ",2
"MORENA","PT ",11
"MORENA","PVEM ",10
"OTRO","MC ",3
"OTRO","PAN ",2
"OTRO","PRD ",1
"OTRO","PT ",3
"OTRO","PVEM ",1
"PANAL","MC ",1
"PAN","MC ",1
"PAN","MORENA ",2
"PAN","PAN ",43
"PAN","PRD ",2
"PAN","PRI ",6
"PAN","PVEM ",1
"PESOL","MC ",1
"PRD","MC ",4
"PRD","PAN ",1
"PRD","PRD ",4
"PRD","PRI ",4
"PRD","PVEM ",1
"PRI","MC ",2
"PRI","MORENA ",2
"PRI","PAN ",2
"PRI","PRD ",1
"PRI","PRI ",34
"PRI","PVEM ",1
"PT","MC ",1
"PT","MORENA ",9
"PT","PT ",7
"PT","PVEM ",5
"PVEM","MC ",1
"PVEM","MORENA ",1
"PVEM","PAN ",2
"PVEM","PVEM ",14
